Place,State,Type,Cost_Per_Day,Season,Rating,Duration_Days,Budget_Type,Visitors_Per_Year,Famous_For
Tirupati,Andhra Pradesh,Religious,10000,Winter,4.8,2,Low,25000000,Tirupati Temple
Visakhapatnam,Andhra Pradesh,Beach,15000,Winter,4.5,3,Medium,5000000,Beaches
Araku Valley,Andhra Pradesh,Hill Station,14000,Winter,4.6,3,Medium,1200000,Coffee & Hills
Vijayawada,Andhra Pradesh,Religious,9000,Winter,4.3,2,Low,3000000,Kanaka Durga Temple
Lepakshi,Andhra Pradesh,Historical,8000,Winter,4.4,2,Low,800000,Veerabhadra Temple
Tawang,Arunachal Pradesh,Hill Station,18000,Summer,4.8,5,High,300000,Tawang Monastery
Ziro Valley,Arunachal Pradesh,Nature,15000,Summer,4.7,4,Medium,200000,Ziro Festival
Bomdila,Arunachal Pradesh,Hill Station,14000,Summer,4.5,3,Medium,150000,Monasteries
Itanagar,Arunachal Pradesh,Urban,12000,Winter,4.3,2,Low,250000,Capital City
Sela Pass,Arunachal Pradesh,Adventure,17000,Summer,4.6,3,High,180000,Mountain Pass
Kaziranga National Park,Assam,Wildlife,18000,Winter,4.8,3,High,1000000,One Horned Rhino
Guwahati,Assam,Urban,12000,Winter,4.4,2,Medium,2000000,Kamakhya Temple
Majuli,Assam,Cultural,14000,Winter,4.6,3,Medium,500000,River Island
Shillong,Assam,Hill Station,15000,Summer,4.5,4,Medium,700000,Waterfalls
Tezpur,Assam,Historical,10000,Winter,4.3,2,Low,300000,Ancient Sites
Patna,Bihar,Urban,3000,Winter,4.2,2,Medium,2000000,Capital City
Bodh Gaya,Bihar,Religious,2500,Winter,4.8,2,Low,1500000,Mahabodhi Temple
Nalanda,Bihar,Historical,2200,Winter,4.6,2,Low,800000,Ancient University
Rajgir,Bihar,Religious,2400,Winter,4.5,2,Low,1000000,Hot Springs
Vaishali,Bihar,Historical,2000,Winter,4.3,1,Low,500000,Buddhist Heritage
Raipur,Chhattisgarh,Urban,3000,Winter,4.2,2,Medium,1500000,Capital City
Jagdalpur,Chhattisgarh,Nature,3500,Winter,4.5,3,Medium,800000,Waterfalls & Forests
Chitrakote Falls,Chhattisgarh,Nature,3200,Winter,4.7,2,Medium,600000,Niagara of India
Bhilai,Chhattisgarh,Industrial,2800,Winter,4.1,2,Low,1000000,Steel Plant
Kanger Valley,Chhattisgarh,Wildlife,3400,Winter,4.6,2,Medium,500000,National Park
Panaji,Goa,Beach,5000,Winter,4.6,3,High,4000000,Beaches & Culture
Calangute Beach,Goa,Beach,5500,Winter,4.7,3,High,5000000,Beach Life
Baga Beach,Goa,Beach,5200,Winter,4.6,3,High,4500000,Nightlife
Anjuna Beach,Goa,Beach,4800,Winter,4.5,3,Medium,3000000,Flea Market
Old Goa,Goa,Historical,3500,Winter,4.4,2,Medium,2000000,Churches
Ahmedabad,Gujarat,Urban,3500,Winter,4.3,2,Medium,3000000,Heritage City
Gir National Park,Gujarat,Wildlife,5000,Winter,4.8,2,High,1000000,Asiatic Lions
Surat,Gujarat,Urban,3000,Winter,4.2,2,Medium,2500000,Diamond City
Dwarka,Gujarat,Religious,2800,Winter,4.7,2,Low,2000000,Dwarkadhish Temple
Somnath,Gujarat,Religious,3000,Winter,4.8,2,Low,3000000,Somnath Temple
Gurgaon,Haryana,Urban,4500,Winter,4.4,2,High,3500000,Corporate Hub
Kurukshetra,Haryana,Religious,2500,Winter,4.5,1,Low,1500000,Historical Land
Faridabad,Haryana,Urban,3000,Winter,4.2,2,Medium,2000000,City Life
Panchkula,Haryana,Urban,3200,Winter,4.3,2,Medium,1200000,Planned City
Morni Hills,Haryana,Hill Station,3500,Winter,4.4,2,Medium,800000,Hills
Shimla,Himachal Pradesh,Hill Station,4000,Winter,4.7,3,Medium,5000000,Colonial Hills
Manali,Himachal Pradesh,Hill Station,4500,Winter,4.8,4,High,6000000,Snow & Adventure
Dharamshala,Himachal Pradesh,Hill Station,3800,Summer,4.6,3,Medium,3000000,Monasteries
McLeod Ganj,Himachal Pradesh,Hill Station,4000,Summer,4.7,3,Medium,2500000,Tibetan Culture
Kullu,Himachal Pradesh,Nature,3500,Summer,4.5,3,Medium,2000000,Valley Views
Kasol,Himachal Pradesh,Adventure,4200,Summer,4.6,3,Medium,1500000,Parvati Valley
Spiti Valley,Himachal Pradesh,Adventure,6000,Summer,4.8,5,High,500000,Cold Desert
Dalhousie,Himachal Pradesh,Hill Station,3800,Winter,4.5,3,Medium,1800000,Peaceful Hills
Khajjiar,Himachal Pradesh,Nature,3600,Summer,4.6,2,Medium,1200000,Mini Switzerland
Kasauli,Himachal Pradesh,Hill Station,3500,Summer,4.4,2,Medium,1000000,Quiet Hills
Chamba,Himachal Pradesh,Historical,3000,Winter,4.3,2,Low,800000,Temples
Palampur,Himachal Pradesh,Nature,3400,Summer,4.5,2,Medium,900000,Tea Gardens
Solan,Himachal Pradesh,Urban,3000,Winter,4.2,2,Low,700000,Mushroom City
Narkanda,Himachal Pradesh,Hill Station,3700,Winter,4.6,2,Medium,600000,Skiing
Tirthan Valley,Himachal Pradesh,Nature,4000,Summer,4.7,3,Medium,500000,Serene Nature
Bir Billing,Himachal Pradesh,Adventure,4500,Summer,4.8,3,High,700000,Paragliding
Chail,Himachal Pradesh,Hill Station,3500,Summer,4.4,2,Medium,600000,Palace & Cricket Ground
Kufri,Himachal Pradesh,Hill Station,3200,Winter,4.5,2,Low,2000000,Snow Activities
Rohtang Pass,Himachal Pradesh,Adventure,5000,Summer,4.7,1,High,1500000,Snow Point
Barot Valley,Himachal Pradesh,Nature,3300,Summer,4.5,2,Medium,400000,Hidden Valley
Ranchi,Jharkhand,Urban,3000,Winter,4.2,2,Medium,1200000,Waterfalls & Capital
Netarhat,Jharkhand,Hill Station,3200,Winter,4.5,2,Medium,500000,Sunrise Point
Deoghar,Jharkhand,Religious,2500,Winter,4.6,2,Low,2000000,Baijnath Dham
Jamshedpur,Jharkhand,Urban,3200,Winter,4.3,2,Medium,1500000,Steel City
Hazaribagh,Jharkhand,Nature,3000,Winter,4.4,2,Medium,800000,Wildlife & Hills
Betla National Park,Jharkhand,Wildlife,3500,Winter,4.5,2,Medium,600000,Forest Safari
Patratu Valley,Jharkhand,Nature,2800,Winter,4.6,1,Low,700000,Scenic Roads
Parasnath Hill,Jharkhand,Religious,2600,Winter,4.7,2,Low,900000,Jain Pilgrimage
Dhanbad,Jharkhand,Urban,3000,Winter,4.1,2,Medium,1000000,Coal City
Bokaro,Jharkhand,Urban,2800,Winter,4.2,2,Medium,900000,Steel Plant
Bangalore,Karnataka,Urban,4000,Winter,4.5,3,High,8000000,IT Hub
Mysore,Karnataka,Historical,3000,Winter,4.6,2,Medium,4000000,Mysore Palace
Coorg,Karnataka,Hill Station,4500,Winter,4.7,3,High,2000000,Coffee Plantations
Hampi,Karnataka,Historical,3200,Winter,4.8,2,Medium,1500000,Ancient Ruins
Gokarna,Karnataka,Beach,4000,Winter,4.6,3,Medium,1200000,Beaches
Chikmagalur,Karnataka,Hill Station,4200,Winter,4.7,3,High,1000000,Coffee Hills
Udupi,Karnataka,Religious,2800,Winter,4.5,2,Low,2000000,Krishna Temple
Badami,Karnataka,Historical,3000,Winter,4.4,2,Low,800000,Cave Temples
Bijapur,Karnataka,Historical,2800,Winter,4.3,2,Low,700000,Gol Gumbaz
Kabini,Karnataka,Wildlife,5000,Winter,4.7,2,High,600000,Wildlife Safari
Munnar,Kerala,Hill Station,4500,Winter,4.7,3,High,2000000,Tea Gardens
Alleppey,Kerala,Backwaters,5000,Winter,4.8,3,High,2500000,Houseboats
Kochi,Kerala,Urban,4000,Winter,4.5,2,Medium,3000000,Fort Kochi
Wayanad,Kerala,Nature,4200,Winter,4.6,3,Medium,1500000,Forests & Waterfalls
Thekkady,Kerala,Wildlife,4800,Winter,4.7,2,High,1200000,Periyar Wildlife
Kovalam,Kerala,Beach,4500,Winter,4.6,3,High,2000000,Beaches
Varkala,Kerala,Beach,4300,Winter,4.5,2,Medium,1800000,Cliff Beach
Trivandrum,Kerala,Urban,3500,Winter,4.4,2,Medium,2200000,Capital City
Kumarakom,Kerala,Backwaters,5000,Winter,4.7,2,High,1400000,Backwaters
Bekal,Kerala,Historical,4000,Winter,4.5,2,Medium,900000,Bekal Fort
Bhopal,Madhya Pradesh,Urban,3000,Winter,4.3,2,Medium,2000000,Lakes
Indore,Madhya Pradesh,Urban,3200,Winter,4.4,2,Medium,2500000,Food City
