Hotel_Name,Place,State,Hotel_Type,Price_Per_Night,Rating,Amenities,Distance_From_Center (km),Reviews_Count
Hotel Bliss,Tirupati,Andhra Pradesh,Budget,2000,4.2,WiFi|AC|Parking,1.5,1200
Fortune Select Grand Ridge,Tirupati,Andhra Pradesh,Luxury,6000,4.6,WiFi|Pool|Gym,2.0,900
Novotel Visakhapatnam,Visakhapatnam,Andhra Pradesh,Luxury,7000,4.5,WiFi|Pool|Sea View,1.0,1500
Dolphin Hotel,Visakhapatnam,Andhra Pradesh,Standard,4000,4.3,WiFi|AC|Restaurant,1.8,1100
Haritha Resort,Araku Valley,Andhra Pradesh,Budget,2500,4.1,Parking|Nature View,2.5,500
Casa Holiday Resort,Araku Valley,Andhra Pradesh,Standard,3500,4.2,WiFi|AC,1.2,400
Quality Hotel DV Manor,Vijayawada,Andhra Pradesh,Standard,4500,4.4,WiFi|Gym|Restaurant,1.0,800
Hotel Ilapuram,Vijayawada,Andhra Pradesh,Budget,2000,4.1,WiFi|AC,1.5,600
Rishikesh Residency,Lepakshi,Andhra Pradesh,Budget,1800,4.0,Parking|AC,2.0,300
KSTDC Mayura Hotel,Lepakshi,Andhra Pradesh,Standard,3000,4.2,WiFi|Restaurant,1.5,350
Hotel Tawang Heights,Tawang,Arunachal Pradesh,Standard,4000,4.3,WiFi|Heater|View,1.5,300
Dolma Khangsar,Tawang,Arunachal Pradesh,Luxury,6500,4.6,WiFi|Restaurant|Mountain View,2.0,250
Ziro Valley Resort,Ziro Valley,Arunachal Pradesh,Standard,3500,4.4,WiFi|Nature View,1.2,200
Blue Pine Hotel,Ziro Valley,Arunachal Pradesh,Budget,2500,4.1,Parking|Basic Amenities,1.8,150
Hotel Tsepal Yangjom,Bomdila,Arunachal Pradesh,Standard,3000,4.2,WiFi|Restaurant,1.0,180
Hotel West Kameng,Bomdila,Arunachal Pradesh,Budget,2000,4.0,Parking|AC,1.5,120
Cygnett Inn Trendz,Itanagar,Arunachal Pradesh,Luxury,6000,4.5,WiFi|Pool|Gym,1.0,400
Hotel Arun Subansiri,Itanagar,Arunachal Pradesh,Standard,3500,4.2,WiFi|Restaurant,1.3,220
Sela View Camp,Sela Pass,Arunachal Pradesh,Budget,1800,4.1,Basic Stay|View,2.5,100
Mountain Camp,Sela Pass,Arunachal Pradesh,Adventure,2200,4.2,Camp Stay|Bonfire,3.0,90
IORA Resort,Kaziranga National Park,Assam,Luxury,7000,4.6,WiFi|Pool|Nature View,2.0,500
Landmark Woods,Kaziranga National Park,Assam,Standard,4000,4.3,WiFi|Restaurant,1.5,350
Radisson Blu,Guwahati,Assam,Luxury,8000,4.7,WiFi|Pool|Gym,1.0,1200
